tf_gene_name	uniprot_id	uniprot_ac	gene_names	tf_superclass	tf_class	tf_family	tf_subfamily	tf_genus	tf_molecular_species	cisbp_families	cisbp_dbds
HOXC6	HXC6_HUMAN	P09630	HOXC6:HOX3C	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX6-7{3.1.1.6}	Hox-C6 (HOX3C){3.1.1.6.3}	Hox-C6, isoform 1{3.1.1.6.3.1}:Hox-C6, isoform 2{3.1.1.6.3.2}	Homeodomain	Homeobox
HOXC8	HXC8_HUMAN	P31273	HOXC8:HOX3A	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX8{3.1.1.7}	Hox-C8 (HOX3A){3.1.1.7.2}		Homeodomain	Homeobox
HOXC9	HXC9_HUMAN	P31274	HOXC9:HOX3B	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-C9 (HOX3B){3.1.1.8.3}		Homeodomain	Homeobox
HOXD1	HXD1_HUMAN	Q9GZZ0	HOXD1:HOX4:HOX4G	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX1{3.1.1.1}	Hox-D1 (HOX4G){3.1.1.1.3}		Homeodomain	Homeobox
HOXD10	HXD10_HUMAN	P28358	HOXD10:HOX4D:HOX4E	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-D10 (HOX4D, HOX4E){3.1.1.8.7}		Homeodomain	Homeobox
HOXD11	HXD11_HUMAN	P31277	HOXD11:HOX4F	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-D11 (HOX4F){3.1.1.8.10}		Homeodomain	Homeobox
HOXD12	HXD12_HUMAN	P35452	HOXD12:HOX4H	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-D12 (HOX4H){3.1.1.8.12}		Homeodomain	Homeobox
HOXD13	HXD13_HUMAN	P35453	HOXD13:HOX4I	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-D13 (HOX4I){3.1.1.8.16}		Homeodomain	Homeobox
HOXD3	HXD3_HUMAN	P31249	HOXD3:HOX1D:HOX4A	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX3{3.1.1.3}	Hox-D3 (HOX4A){3.1.1.3.3}		Homeodomain	Homeobox
HOXD4	HXD4_HUMAN	P09016	HOXD4:HOX4B	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX4{3.1.1.4}	Hox-D4 (HOX4B){3.1.1.4.4}		Homeodomain	Homeobox
HOXD8	HXD8_HUMAN	P13378	HOXD8:HOX4E	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX8{3.1.1.7}	Hox-D8 (HOX4E){3.1.1.7.3}	Hox-D8, isoform 1{3.1.1.7.3.1}:Hox-D8, isoform 2{3.1.1.7.3.2}:Hox-D8, isoform 3{3.1.1.7.3.3}	Homeodomain	Homeobox
HOXD9	HXD9_HUMAN	P28356	HOXD9:HOX4C	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-D9 (HOX4C){3.1.1.8.4}		Homeodomain	Homeobox
HSF1	HSF1_HUMAN	Q00613	HSF1:HSTF1	Helix-turn-helix domains{3}	Heat shock factors{3.4}	HSF factors{3.4.1}	HSF1 (HSTF1){3.4.1.0.1}	HSF1 (HSTF1){3.4.1.0.1}	HSF1, isoform long{3.4.1.0.1.1}:HSF1, isoform short{3.4.1.0.1.2}	HSF	HSF_DNA-bind
HSF2	HSF2_HUMAN	Q03933	HSF2:HSTF2	Helix-turn-helix domains{3}	Heat shock factors{3.4}	HSF factors{3.4.1}	HSF2 (HSTF2){3.4.1.0.2}	HSF2 (HSTF2){3.4.1.0.2}	HSF2A, isoform 1{3.4.1.0.2.1}:HSF2B, isoform 2{3.4.1.0.2.2}	HSF	HSF_DNA-bind
HSF4	HSF4_HUMAN	Q9ULV5	HSF4	Helix-turn-helix domains{3}	Heat shock factors{3.4}	HSF factors{3.4.1}	HSF4 (HSTF4){3.4.1.0.3}	HSF4 (HSTF4){3.4.1.0.3}	HSF4, isoform HSF4A{3.4.1.0.3.1}:HSF4, isoform HSF4B{3.4.1.0.3.2}	HSF	HSF_DNA-bind
HSF5	HSF5_HUMAN	Q4G112	HSF5:HSTF5	Helix-turn-helix domains{3}	Heat shock factors{3.4}	HSF factors{3.4.1}	HSF5 (HSTF5){3.4.1.0.4}	HSF5 (HSTF5){3.4.1.0.4}	HSF5, isoform 1{3.4.1.0.4.1}:HSF5, isoform 2{3.4.1.0.4.2}	HSF	HSF_DNA-bind
HSFY1	HSFY1_HUMAN	Q96LI6	HSFY1:HSF2L:HSFY;:HSFY2:HSF2L:HSFY	Helix-turn-helix domains{3}	Heat shock factors{3.4}	HSF factors{3.4.1}	HSFY1 (HSFY2, HSF2L){3.4.1.0.6}	HSFY1 (HSFY2, HSF2L){3.4.1.0.6}	HSFY1, isoform 1{3.4.1.0.6.1}:HSFY1, isoform 2{3.4.1.0.6.2}:HSFY1, isoform 3{3.4.1.0.6.3}	HSF	HSF_DNA-bind
HSFY2	HSFY1_HUMAN	Q96LI6	HSFY1:HSF2L:HSFY;:HSFY2:HSF2L:HSFY	Helix-turn-helix domains{3}	Heat shock factors{3.4}	HSF factors{3.4.1}	HSFY1 (HSFY2, HSF2L){3.4.1.0.6}	HSFY1 (HSFY2, HSF2L){3.4.1.0.6}	HSFY1, isoform 1{3.4.1.0.6.1}:HSFY1, isoform 2{3.4.1.0.6.2}:HSFY1, isoform 3{3.4.1.0.6.3}	HSF	HSF_DNA-bind
Hdx	HDX_MOUSE	Q14B70	Hdx	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	HDX-like factors{3.1.10.8}	HDX{3.1.10.8.1}	HDX, isoform 1{3.1.10.8.1.1}:HDX, isoform 2{3.1.10.8.1.2}	Homeodomain	Homeobox
Hic1	HIC1_MOUSE	Q9R1Y5	Hic1	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	Hypermethylated in Cancer proteins{2.3.4.17}	HIC1 (ZBTB29) [1+4]{2.3.4.17.1}		C2H2 ZF	zf-C2H2
Hlx1	HLX_MOUSE	Q61670	Hlx:Hlx1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	HLX{3.1.2.9}	HLX-1 (HB24){3.1.2.9.1}			
Hlxb9	MNX1_MOUSE	Q9QZW9	Mnx1:Hlxb9	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	MNX{3.1.1.13}	MNX1 (HB9, HLXB9){3.1.1.13.1}			
Hmbox1	HMBX1_MOUSE	Q8BJA3	Hmbox1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	HNF1-like factors{3.1.10.7}	HMBOX1 (HNF-1LA){3.1.10.7.3}	HMBOX1, isoform 1{3.1.10.7.3.1}:HMBOX1, isoform 2{3.1.10.7.3.2}:HMBOX1, isoform 3{3.1.10.7.3.3}:HMBOX1, isoform 4{3.1.10.7.3.4}	Homeodomain	Homeobox
Hmgb3	HMGB3_MOUSE	O54879	Hmgb3:Hmg2a:Hmg4								
Hmx1	HMX1_MOUSE	O70218	Hmx1:H6	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	NK-5/HMX{3.1.2.18}	HMX-1 (H6, NKX5-3, NKX-5.3){3.1.2.18.1}		Homeodomain	Homeobox
Hmx2	HMX2_MOUSE	P43687	Hmx2:Nkx-5.2:Nkx5-2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	NK-5/HMX{3.1.2.18}	HMX-2 (H6L, NKX5-2, NKX-5.2){3.1.2.18.2}		Homeodomain	Homeobox
Hmx3	HMX3_MOUSE	P42581	Hmx3:Nkx-5.1:Nkx5-1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	NK-related factors{3.1.2}	NK-5/HMX{3.1.2.18}	HMX-3 (NKX5-1, NKX-5.1){3.1.2.18.3}		Homeodomain	Homeobox
Hnf4a	HNF4A_MOUSE	P49698	Hnf4a:Hnf-4:Hnf4:Nr2a1:Tcf14	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	RXR-related receptors (NR2){2.1.3}	HNF-4 (NR2A){2.1.3.2}	HNF-4alpha (NR2A1){2.1.3.2.1}	HNF-4alpha, isoform long{2.1.3.2.1.1}:HNF-4alpha, isoform short{2.1.3.2.1.2}	Nuclear receptor	zf-C4
Homez	HOMEZ_MOUSE	Q80W88	Homez:Kiaa1443	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HD-ZF factors{3.1.8}	ZHX{3.1.8.5}	HOMEZ{3.1.8.5.4}	HOMEZ, isoform 1{3.1.8.5.4.1}:HOMEZ, isoform 2{3.1.8.5.4.2}	Homeodomain	Homeobox
Hoxa1	HXA1_MOUSE	P09022	Hoxa1:Era-1:Hox-1.6:Hoxa-1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX1{3.1.1.1}	Hox-A1 (HOX1F, ERA-1){3.1.1.1.1}	Hox-A1, isoform 1 (ERA-1-993){3.1.1.1.1.1}:Hox-A1, isoform 2 (ERA-1-399){3.1.1.1.1.2}	Homeodomain	Homeobox
Hoxa10	HXA10_MOUSE	P31310	Hoxa10:Hox-1.8:Hoxa-10	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-A10 (HOX1H){3.1.1.8.5}	Hox-A10, isoform 1{3.1.1.8.5.1}:Hox-A10, isoform 2{3.1.1.8.5.2}	Homeodomain	Homeobox
Hoxa11	HXA11_MOUSE	P31311	Hoxa11:Hox-1.9:Hoxa-11	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-A11 (HOX1I){3.1.1.8.8}		Homeodomain	Homeobox
Hoxa13	HXA13_MOUSE	Q62424	Hoxa13:Hox-1.10	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-A13 (HOX1J){3.1.1.8.13}		Homeodomain	Homeobox
Hoxa2	HXA2_MOUSE	P31245	Hoxa2:Hox-1.11:Hoxa-2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX2{3.1.1.2}	Hox-A2 (HOX1K){3.1.1.2.1}		Homeodomain	Homeobox
Hoxa3	HXA3_MOUSE	P02831	Hoxa3:Hox-1.5:Hoxa-3	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX3{3.1.1.3}	Hox-A3 (HOX1E){3.1.1.3.1}			
Hoxa4	HXA4_MOUSE	P06798	Hoxa4:Hox-1.4:Hoxa-4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX4{3.1.1.4}	Hox-A4 (HOX1D){3.1.1.4.1}		Homeodomain	Homeobox
Hoxa5	HXA5_MOUSE	P09021	Hoxa5:Hox-1.3:Hoxa-5	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX5{3.1.1.5}	Hox-A5 (HOX1C){3.1.1.5.1}		Homeodomain	Homeobox
Hoxa6	HXA6_MOUSE	P09092	Hoxa6:Hox-1.2:Hoxa-6	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX6-7{3.1.1.6}	Hox-A6 (HOX1B){3.1.1.6.1}		Homeodomain	Homeobox
Hoxa7	HXA7_MOUSE	P02830	Hoxa7:Hox-1.1:Hoxa-7	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX6-7{3.1.1.6}	Hox-A7 (HOX1A){3.1.1.6.4}		Homeodomain	Homeobox
Hoxa9	HXA9_MOUSE	P09631	Hoxa9:Hox-1.7:Hoxa-9	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-A9 (HOX1G){3.1.1.8.1}	Hox-A9, isoform 1{3.1.1.8.1.1}:Hox-A9, isoform 2 (T){3.1.1.8.1.2}	Homeodomain	Homeobox
Hoxb13	HXB13_MOUSE	P70321	Hoxb13	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-B13{3.1.1.8.14}		Homeodomain	Homeobox
Hoxb3	HXB3_MOUSE	P09026	Hoxb3:Hox-2.7:Hoxb-3	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX3{3.1.1.3}	Hox-B3 (HOX2G){3.1.1.3.2}		Homeodomain	Homeobox
Hoxb4	HXB4_MOUSE	P10284	Hoxb4:Hox-2.6:Hoxb-4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX4{3.1.1.4}	Hox-B4 (HOX2F){3.1.1.4.2}		Homeodomain	Homeobox
Hoxb5	HXB5_MOUSE	P09079	Hoxb5:Hox-2.1:Hoxb-5	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX5{3.1.1.5}	Hox-B5 (HOX2A){3.1.1.5.2}		Homeodomain	Homeobox
Hoxb6	HXB6_MOUSE	P09023	Hoxb6:Hox-2.2:Hoxb-6	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX6-7{3.1.1.6}	Hox-B6 (HOX2B){3.1.1.6.2}		Homeodomain	Homeobox
Hoxb7	HXB7_MOUSE	P09024	Hoxb7:Hox-2.3:Hoxb-7	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX6-7{3.1.1.6}	Hox-B7 (HOX2C){3.1.1.6.5}		Homeodomain	Homeobox
Hoxb8	HXB8_MOUSE	P09632	Hoxb8:Hox-2.4:Hoxb-8	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX8{3.1.1.7}	Hox-B8 (HOX2D){3.1.1.7.1}		Homeodomain	Homeobox
Hoxb9	HXB9_MOUSE	P20615	Hoxb9:Hox-2.5:Hoxb-9	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-B9 (HOX2E){3.1.1.8.2}		Homeodomain	Homeobox
Hoxc10	HXC10_MOUSE	P31257	Hoxc10:Hox-3.6:Hoxc-10	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-C10 (HOX3I){3.1.1.8.6}		Homeodomain	Homeobox
Hoxc11	HXC11_MOUSE	P31313	Hoxc11:Hox-3.7:Hoxc-11	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-C11 (HOX3H){3.1.1.8.9}		Homeodomain	Homeobox
Hoxc12	HXC12_MOUSE	Q8K5B8	Hoxc12:Hox-3.8:Hoxc-12	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-C12 (HOX3F){3.1.1.8.11}		Homeodomain	Homeobox
Hoxc13	HXC13_MOUSE	P50207	Hoxc13:Hoxc-13	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-C13 (HOX3G){3.1.1.8.15}		Homeodomain	Homeobox
Hoxc4	HXC4_MOUSE	Q08624	Hoxc4:Hox-3.5:Hoxc-4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX4{3.1.1.4}	Hox-C4 (HOX3E){3.1.1.4.3}		Homeodomain	Homeobox
Hoxc5	HXC5_MOUSE	P32043	Hoxc5:Hox-3.4:Hoxc-5	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX5{3.1.1.5}	Hox-C5 (HOX3D){3.1.1.5.3}			
Hoxc6	HXC6_MOUSE	P10629	Hoxc6:Hox-3.3:Hoxc-6	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX6-7{3.1.1.6}	Hox-C6 (HOX3C){3.1.1.6.3}	Hox-C6, isoform 1 (PRII){3.1.1.6.3.1}:Hox-C6, isoform 2 (PRI){3.1.1.6.3.2}	Homeodomain	Homeobox
Hoxc8	HXC8_MOUSE	P09025	Hoxc8:Hox-3.1:Hoxc-8	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX8{3.1.1.7}	Hox-C8 (HOX3A){3.1.1.7.2}		Homeodomain	Homeobox
Hoxc9	HXC9_MOUSE	P09633	Hoxc9:Hox-3.2:Hoxc-9	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-C9 (HOX3B){3.1.1.8.3}		Homeodomain	Homeobox
Hoxd1	HXD1_MOUSE	Q01822	Hoxd1:Hox-4.9:Hoxd-1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX1{3.1.1.1}	Hox-D1 (HOX4G){3.1.1.1.3}		Homeodomain	Homeobox
Hoxd10	HXD10_MOUSE	P28359	Hoxd10:Hox-4.5:Hoxd-10	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-D10 (HOX4D, HOX4E){3.1.1.8.7}		Homeodomain	Homeobox
Hoxd11	HXD11_MOUSE	P23813	Hoxd11:Hox-4.6:Hoxd-11	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-D11 (HOX4F){3.1.1.8.10}		Homeodomain	Homeobox
Hoxd12	HXD12_MOUSE	P23812	Hoxd12:Hox-4.7:Hoxd-12	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-D12 (HOX4H){3.1.1.8.12}		Homeodomain	Homeobox
Hoxd13	HXD13_MOUSE	P70217	Hoxd13:Hox-4.8	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX9-13{3.1.1.8}	Hox-D13 (HOX4I){3.1.1.8.16}		Homeodomain	Homeobox
Hoxd3	HXD3_MOUSE	P09027	Hoxd3:Hox-4.1:Hoxd-3	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX3{3.1.1.3}	Hox-D3 (HOX4A){3.1.1.3.3}		Homeodomain	Homeobox
Hoxd8	HXD8_MOUSE	P23463	Hoxd8:Hox-4.3:Hoxd-8	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HOX-related factors{3.1.1}	HOX8{3.1.1.7}	Hox-D8 (HOX4E){3.1.1.7.3}		Homeodomain	Homeobox
ID2	ID2_HUMAN	Q02363	ID2:BHLHB26	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	HLH domain only{1.2.8}	Id2{1.2.8.0.2}	Id2{1.2.8.0.2}			
ID3	ID3_HUMAN	Q02535	ID3:1R21:BHLHB25:HEIR1	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	HLH domain only{1.2.8}	Id3{1.2.8.0.3}	Id3{1.2.8.0.3}			
ID4	ID4_HUMAN	P47928	ID4:BHLHB27	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	HLH domain only{1.2.8}	Id4{1.2.8.0.4}	Id4{1.2.8.0.4}			
IKZF1	IKZF1_HUMAN	Q13422	IKZF1:IK1:IKAROS:LYF1:ZNFN1A1	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	Ikaros{2.3.4.4}	IKZF1 (IK1, IKAROS, Lyf-1, ZNFN1A1) [4+2]{2.3.4.4.1}	IKZF1, isoform Ik1{2.3.4.4.1.1}:IKZF1, isoform Ik2 [3+2]{2.3.4.4.1.2}:IKZF1, isoform Ik3 [3+2]{2.3.4.4.1.3}:IKZF1, isoform Ik4 [3+2]{2.3.4.4.1.4}:IKZF1, isoform Ik5 [1+2]{2.3.4.4.1.5}:IKZF1, isoform Ik6 [2]{2.3.4.4.1.6}:IKZF1, isoform Ik7 [3+2]{2.3.4.4.1.7}:IKZF1, isoform Ikx [3]{2.3.4.4.1.8}		
IKZF3	IKZF3_HUMAN	Q9UKT9	IKZF3:ZNFN1A3	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	Ikaros{2.3.4.4}	IKZF3 (Aiolos, ZNFN1A3) [4+2]{2.3.4.4.3}	IKZF3, isoform 1 (Aio-1){2.3.4.4.3.1}:IKZF3, isoform 10 (Aio-del3,4) [1+2]{2.3.4.4.3.10}:IKZF3, isoform 11 (Aio-del3,4,5) [2]{2.3.4.4.3.11}:IKZF3, isoform 12 (Aio-del3,4,5,6) [2]{2.3.4.4.3.12}:IKZF3, isoform 13 (Aio-del4,5,6) [1+2]{2.3.4.4.3.13}:IKZF3, isoform 14 (Aio-1-5a) [4]{2.3.4.4.3.14}:IKZF3, isoform 15 (Aio-del4-5a) [2+2]{2.3.4.4.3.15}:IKZF3, isoform 16 [2]{2.3.4.4.3.16}:IKZF3, isoform 2 (Aio-del4) [2+2]{2.3.4.4.3.2}:IKZF3, isoform 3 (Aio-del5) [2+2]{2.3.4.4.3.3}:IKZF3, isoform 4 (Aio-del6){2.3.4.4.3.4}:IKZF3, isoform 5 (Aio-del4,5) [1+2]{2.3.4.4.3.5}:IKZF3, isoform 6 (Aio-del5,6) [3+2]{2.3.4.4.3.6}:IKZF3, isoform 7 (Aio-del2){2.3.4.4.3.7}:IKZF3, isoform 8 (Aio-del2,5) [3+2]{2.3.4.4.3.8}:IKZF3, isoform 9 (Aio-del3) [3+2]{2.3.4.4.3.9}	C2H2 ZF	zf-C2H2
INSM1	INSM1_HUMAN	Q01101	INSM1:IA1	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	Insulinoma-associated proteins{2.3.4.16}	INSM1 (IA-1) [2+1+2]{2.3.4.16.1}			
IRF1	IRF1_HUMAN	P10914	IRF1	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Interferon-regulatory factors{3.5.3}	IRF-1{3.5.3.0.1}	IRF-1{3.5.3.0.1}		IRF	IRF
IRF2	IRF2_HUMAN	P14316	IRF2	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Interferon-regulatory factors{3.5.3}	IRF-2{3.5.3.0.2}	IRF-2{3.5.3.0.2}	IRF-2, isoform 1{3.5.3.0.2.1}:IRF-2s, isoform 2{3.5.3.0.2.2}	IRF	IRF
IRF3	IRF3_HUMAN	Q14653	IRF3	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Interferon-regulatory factors{3.5.3}	IRF-3{3.5.3.0.3}	IRF-3{3.5.3.0.3}	IRF-3, isoform 1{3.5.3.0.3.1}:IRF-3e, isoform 2{3.5.3.0.3.2}	IRF	IRF
IRF4	IRF4_HUMAN	Q15306	IRF4:MUM1	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Interferon-regulatory factors{3.5.3}	IRF-4 (LSIRF, NF-EM5, MUM1, Pip){3.5.3.0.4}	IRF-4 (LSIRF, NF-EM5, MUM1, Pip){3.5.3.0.4}	IRF-4, isoform 1{3.5.3.0.4.1}:IRF-4, isoform 2{3.5.3.0.4.2}	IRF	IRF
IRF5	IRF5_HUMAN	Q13568	IRF5	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Interferon-regulatory factors{3.5.3}	IRF-5{3.5.3.0.5}	IRF-5{3.5.3.0.5}	IRF-5, isoform 1{3.5.3.0.5.1}:IRF-5, isoform 2{3.5.3.0.5.2}:IRF-5, isoform 3{3.5.3.0.5.3}:IRF-5, isoform 4{3.5.3.0.5.4}:IRF-5, isoform 5{3.5.3.0.5.5}	IRF	IRF
IRF6	IRF6_HUMAN	O14896	IRF6	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Interferon-regulatory factors{3.5.3}	IRF-6{3.5.3.0.6}	IRF-6{3.5.3.0.6}	IRF-6, isoform 1{3.5.3.0.6.1}:IRF-6, isoform 2{3.5.3.0.6.2}	IRF	IRF
IRF7	IRF7_HUMAN	Q92985	IRF7	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Interferon-regulatory factors{3.5.3}	IRF-7{3.5.3.0.7}	IRF-7{3.5.3.0.7}	IRF-7, isoform A{3.5.3.0.7.1}:IRF-7beta, isoform B{3.5.3.0.7.2}:IRF-7gamma, isoform C{3.5.3.0.7.3}:IRF-7H, isoform D{3.5.3.0.7.4}	IRF	IRF
IRF8	IRF8_HUMAN	Q02556	IRF8:ICSBP1	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Interferon-regulatory factors{3.5.3}	IRF-8 (ICSBP1){3.5.3.0.8}	IRF-8 (ICSBP1){3.5.3.0.8}		IRF	IRF
IRF9	IRF9_HUMAN	Q00978	IRF9:ISGF3G	Helix-turn-helix domains{3}	Tryptophan cluster factors{3.5}	Interferon-regulatory factors{3.5.3}	IRF-9 (ISGF-3gamma){3.5.3.0.9}	IRF-9 (ISGF-3gamma){3.5.3.0.9}		IRF	IRF
IRX1	IRX1_HUMAN	P78414	IRX1:IRXA1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	TALE-type homeo domain factors{3.1.4}	IRX (Iroquois){3.1.4.1}	IRX-1{3.1.4.1.1}		Homeodomain	Homeobox
IRX2	IRX2_HUMAN	Q9BZI1	IRX2:IRXA2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	TALE-type homeo domain factors{3.1.4}	IRX (Iroquois){3.1.4.1}	IRX-2{3.1.4.1.2}		Homeodomain	Homeobox
IRX3	IRX3_HUMAN	P78415	IRX3:IRXB1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	TALE-type homeo domain factors{3.1.4}	IRX (Iroquois){3.1.4.1}	IRX-3{3.1.4.1.3}		Homeodomain	Homeobox
IRX5	IRX5_HUMAN	P78411	IRX5:IRX2A:IRXB2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	TALE-type homeo domain factors{3.1.4}	IRX (Iroquois){3.1.4.1}	IRX-5{3.1.4.1.5}	IRX-5, isoform 1{3.1.4.1.5.1}:IRX-5, isoform 2{3.1.4.1.5.2}:IRX-5, isoform 3{3.1.4.1.5.3}	Homeodomain	Homeobox
ISL1	ISL1_HUMAN	P61371	ISL1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HD-LIM factors{3.1.5}	ISL{3.1.5.1}	ISL-1 (Islet-1){3.1.5.1.1}		Homeodomain	Homeobox
